id,key,value,type
153507574,ele,184,regular
153507574,gnis:County,Davidson,regular
153507574,gnis:County_num,037,regular
153507574,gnis:ST_alpha,TN,regular
153507574,gnis:ST_num,47,regular
153507574,id,1313407,gnis
153507574,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153507574,name,Glendale Park,regular
153507574,place,hamlet,regular
153679997,ele,171,regular
153679997,gnis:County,Davidson,regular
153679997,gnis:County_num,037,regular
153679997,gnis:ST_alpha,TN,regular
153679997,gnis:ST_num,47,regular
153679997,id,1313480,gnis
153679997,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153679997,name,Pebble Creek,regular
153679997,place,hamlet,regular
202185287,highway,stop,regular
202199393,highway,motorway_junction,regular
202199393,ref,80,regular
202222749,railway,level_crossing,regular
202223850,highway,traffic_signals,regular
202223850,traffic_signals,signal,regular
202223850,direction,both,traffic_signals
202249903,highway,traffic_signals,regular
202249903,traffic_signals,signal,regular
202249903,direction,both,traffic_signals
202250188,highway,traffic_signals,regular
202250188,traffic_signals,signal,regular
202251019,highway,traffic_signals,regular
202251019,traffic_signals,signal,regular
202251019,direction,both,traffic_signals
202257192,railway,level_crossing,regular
202286475,highway,traffic_signals,regular
202286475,traffic_signals,signal,regular
202291997,highway,traffic_signals,regular
202304547,highway,traffic_signals,regular
202304547,traffic_signals,signal,regular
202308594,highway,turning_circle,regular
202313855,highway,traffic_signals,regular
202313855,traffic_signals,signal,regular
202313855,direction,both,traffic_signals
202314963,crossing,zebra,regular
202314963,highway,crossing,regular
202336680,highway,turning_circle,regular
202338793,highway,turning_circle,regular
202343375,highway,turning_circle,regular
202354319,railway,level_crossing,regular
202354334,railway,level_crossing,regular
202355635,railway,level_crossing,regular
202358828,railway,level_crossing,regular
202360661,railway,level_crossing,regular
202384445,highway,turning_circle,regular
202385903,railway,level_crossing,regular
202386993,railway,level_crossing,regular
202387689,railway,level_crossing,regular
202400939,highway,turning_circle,regular
202407921,highway,traffic_signals,regular
202407921,traffic_signals,signal,regular
202407921,direction,both,traffic_signals
202414865,highway,turning_circle,regular
202420349,highway,traffic_signals,regular
202420349,traffic_signals,signal,regular
202420349,direction,both,traffic_signals
202421448,highway,turning_circle,regular
202452973,highway,turning_circle,regular
202459503,highway,traffic_signals,regular
202470888,highway,turning_loop,regular
202484330,highway,turning_circle,regular
306686016,aeroway,aerodrome,regular
306686016,landuse,military,regular
306686016,military,airfield,regular
306686016,name,Tennessee Air National Guard,regular
356799764,amenity,place_of_worship,regular
356799764,ele,150,regular
356799764,county_id,037,gnis
356799764,created,05/19/1980,gnis
356799764,feature_id,1283478,gnis
356799764,state_id,47,gnis
356799764,name,Ebenezer Church,regular
356799764,religion,christian,regular
356817280,city,Nashville,addr
356817280,housenumber,105,addr
356817280,postcode,37206,addr
356817280,state,TN,addr
356817280,street,South 17th Street,addr
356817280,amenity,school,regular
356817280,ele,156,regular
356817280,county_id,037,gnis
356817280,created,05/19/1980,gnis
356817280,feature_id,1291769,gnis
356817280,state_id,47,gnis
356817280,name,Lockeland Design Center,regular
356817280,operator,Metro Schools,regular
356830336,amenity,school,regular
356830336,designation,School Administration,regular
356830336,ele,195,regular
356830336,county_id,037,gnis
356830336,created,05/19/1980,gnis
356830336,feature_id,1299658,gnis
356830336,state_id,47,gnis
356830336,name,Robertson Academy (1936),regular
356830336,source,MNPS,regular
356841239,amenity,school,regular
356841239,ele,143,regular
356841239,county_id,037,gnis
356841239,created,05/19/1980,gnis
356841239,feature_id,1304301,gnis
356841239,state_id,47,gnis
356841239,name,Vaught School,regular
356844793,amenity,school,regular
356844793,ele,149,regular
356844793,county_id,037,gnis
356844793,created,05/19/1980,gnis
356844793,feature_id,1306408,gnis
356844793,state_id,47,gnis
356844793,name,East Junior High School,regular
356845463,amenity,place_of_worship,regular
356845463,ele,170,regular
356845463,county_id,037,gnis
356845463,created,05/19/1980,gnis
356845463,feature_id,1306775,gnis
356845463,state_id,47,gnis
356845463,name,Mount Olive Church,regular
356845463,religion,christian,regular
356845908,city,Nashville,addr
356845908,housenumber,1212,addr
356845908,postcode,37211,addr
356845908,street,Saturn Drive,addr
