id,user,uid,version,changeset,timestamp
19440717,sushredd,9268825,3,70236245,2019-05-14T13:59:42Z
19440948,cvo_lyft,10313602,7,82579793,2020-03-24T16:13:26Z
19441119,flierfy,445671,2,44412292,2016-12-15T01:33:15Z
19441329,42429,42429,2,20630950,2014-02-18T07:51:37Z
19441545,krinkov76239,7409020,11,57983899,2018-04-10T19:52:00Z
19441721,flierfy,445671,2,44412292,2016-12-15T01:33:18Z
19441954,cvo_lyft,10313602,15,82359827,2020-03-18T18:37:52Z
19442230,ToeBee,262151,8,21900716,2014-04-24T06:14:17Z
19442471,sreelekk,10192132,4,73140220,2019-08-08T07:42:44Z
19442775,Tom_Holland,574654,4,45168337,2017-01-14T19:30:46Z
19442991,flierfy,445671,2,44412292,2016-12-15T01:33:27Z
19443141,Gedwards724,5453545,4,68119813,2019-03-14T01:12:36Z
19443398,TheSwavu,2622285,7,82047234,2020-03-11T08:53:15Z
19443644,krinkov76239,7409020,10,58145677,2018-04-16T17:53:47Z
19443886,maxerickson,360392,2,49375086,2017-06-08T17:53:53Z
19444069,krinkov76239,7409020,5,57977494,2018-04-10T15:51:20Z
19444332,Gedwards724,5453545,5,79677479,2020-01-17T05:24:05Z
19444526,cvo_lyft,10313602,10,82433818,2020-03-20T13:42:06Z
19444718,flierfy,445671,2,44412292,2016-12-15T01:33:33Z
19444884,flierfy,445671,2,49075097,2017-05-29T14:17:27Z
19445112,soundred,10116136,9,86815268,2020-06-18T09:16:03Z
19445294,eadamk,8476256,4,66626907,2019-01-25T10:19:12Z
19445476,flierfy,445671,2,44412292,2016-12-15T01:33:37Z
19445666,sduck,1198413,2,14692259,2013-01-18T04:12:25Z
19445794,mircozorzo,224342,7,82587985,2020-03-24T20:02:44Z
19446031,navlay,8476263,2,65983734,2019-01-03T10:13:51Z
19446156,flierfy,445671,2,44412292,2016-12-15T01:33:41Z
19446349,krinkov76239,7409020,6,58144162,2018-04-16T17:01:54Z
19446437,flierfy,445671,2,44412292,2016-12-15T01:33:42Z
19446548,flierfy,445671,2,44412292,2016-12-15T01:33:43Z
19446687,flierfy,445671,2,44412292,2016-12-15T01:33:44Z
19446824,flierfy,445671,2,44412292,2016-12-15T01:33:45Z
19447001,flierfy,445671,2,49075097,2017-05-29T14:17:28Z
19447179,flierfy,445671,2,44412292,2016-12-15T01:33:47Z
19447374,wward,1211611,5,78748357,2019-12-23T02:06:13Z
19447596,krinkov76239,7409020,6,58068416,2018-04-13T15:54:12Z
