id,node_id,position
19440717,202175864,0
19440717,202175868,1
19440717,202175872,2
19440717,202175876,3
19440717,202175880,4
19440717,6472903585,5
19440717,202175883,6
19440948,202177956,0
19440948,202177959,1
19440948,202177968,2
19440948,202177970,3
19440948,306623412,4
19441119,202179888,0
19441119,202179894,1
19441119,202179896,2
19441119,202179898,3
19441119,202179904,4
19441119,202179908,5
19441119,202179914,6
19441119,202179919,7
19441119,202179923,8
19441119,202179927,9
19441329,2678406401,0
19441329,2678406406,1
19441329,2678406422,2
19441329,2678406439,3
19441329,2678406445,4
19441545,306056261,0
19441545,306056263,1
19441545,306059668,2
19441545,306056262,3
19441545,306056259,4
19441721,202186054,0
19441721,202186059,1
19441721,202186062,2
19441721,202186066,3
19441721,202186070,4
19441721,202186073,5
19441721,202186075,6
19441721,202186076,7
19441721,202186078,8
19441721,202186079,9
19441721,202186084,10
19441721,202186090,11
19441954,1763399157,0
19441954,1867512448,1
19441954,6970379966,2
19441954,202188146,3
19441954,6970379965,4
19441954,202188148,5
19441954,202188150,6
19441954,1867537015,7
19441954,1867537014,8
19441954,202188153,9
19442230,305550914,0
19442230,2812619041,1
19442230,202189745,2
19442230,202189750,3
19442230,202189754,4
19442230,202189758,5
19442230,305549238,6
19442230,305549239,7
19442230,305549240,8
19442230,2812619038,9
19442230,305549241,10
19442230,305549306,11
19442471,202191203,0
19442471,202191209,1
19442471,202191216,2
19442471,202191223,3
19442471,202191228,4
19442471,6694215415,5
19442471,202191232,6
19442471,202191236,7
19442471,202191239,8
19442471,202191242,9
19442471,202191248,10
19442471,202191251,11
19442471,202331670,12
19442471,202191255,13
19442471,202191259,14
19442471,202191264,15
19442471,202191270,16
19442471,202191275,17
19442471,202191279,18
19442471,202191286,19
19442471,202191292,20
19442471,202191296,21
19442775,202179712,0
19442775,202179725,1
19442775,202193650,2
19442775,202193653,3
19442775,202193656,4
19442775,202193659,5
19442775,202193664,6
19442775,202193669,7
19442775,202193674,8
19442775,202193677,9
19442775,202188814,10
19442991,202195270,0
19442991,202195275,1
19442991,202195281,2
19442991,202195261,3
19443141,202196430,0
19443141,6336708258,1
19443141,6336708299,2
19443141,6336708338,3
19443141,202196436,4
19443141,6336708380,5
19443141,6336708424,6
19443141,6336708462,7
19443141,1965495965,8
19443141,6336708271,9
19443141,6336708311,10
19443141,6336708367,11
19443141,202196351,12
19443141,202196440,13
19443141,1965496003,14
19443141,6336708335,15
19443141,1965496008,16
19443141,6336708241,17
19443141,202196455,18
19443398,202198360,0
19443398,202198376,1
19443398,304569678,2
19443398,202198378,3
19443398,202198381,4
19443644,202200988,0
19443644,5540905289,1
19443644,5540905290,2
19443644,308297399,3
19443644,308297401,4
19443644,308297402,5
19443644,308297403,6
19443644,308297405,7
19443644,308297406,8
19443644,308297407,9
19443644,308297409,10
19443644,308297410,11
19443644,308297411,12
19443644,308297412,13
19443644,308297414,14
19443644,308297415,15
19443644,308297417,16
19443644,308297418,17
19443644,308297420,18
19443644,308297421,19
19443644,308297422,20
19443644,308297424,21
19443644,308297425,22
19443886,202203265,0
19443886,202203270,1
19444069,202204797,0
19444069,1240364558,1
19444069,305544186,2
19444069,202204800,3
19444069,305544187,4
19444069,305544188,5
19444069,202204806,6
19444332,202247653,0
19444332,6690788149,1
19444332,6690788144,2
19444332,202206729,3
19444332,7138360701,4
19444332,7138360768,5
19444332,7138360749,6
19444332,7138360754,7
19444332,7138360740,8
19444332,202206732,9
19444332,202206735,10
19444332,202206739,11
19444332,202206742,12
19444332,202206745,13
19444332,202206748,14
19444332,202206749,15
19444332,202206750,16
19444332,202206753,17
19444332,202206755,18
19444332,202206757,19
19444332,202206760,20
19444332,202206763,21
19444332,202206765,22
19444332,202206767,23
19444332,202206768,24
19444332,202206770,25
19444332,202206775,26
19444332,202206779,27
19444332,202206783,28
19444332,202206786,29
19444332,202206787,30
19444332,202206788,31
19444332,202206789,32
19444332,202206793,33
19444332,202206796,34
19444526,202208046,0
19444526,202208048,1
19444526,2980566475,2
19444526,304158755,3
19444526,304158756,4
19444526,2980566478,5
19444526,304158757,6
19444526,2980566479,7
19444526,304158758,8
19444526,304158898,9
19444718,202209790,0
19444718,202209794,1
19444884,202211444,0
19444884,202211446,1
19444884,202211448,2
19444884,202211450,3
19444884,202211453,4
19444884,202211458,5
19444884,202211470,6
19444884,202211479,7
19444884,202211482,8
19444884,202211486,9
19444884,202211490,10
19444884,202211493,11
19444884,202211497,12
19445112,7622278056,0
19445112,202213766,1
19445112,202213772,2
19445112,1383249120,3
19445294,202195890,0
19445294,202215838,1
19445294,1656095626,2
19445294,202195894,3
19445476,202180665,0
19445476,202217666,1
19445476,202217671,2
19445476,202217677,3
19445476,202217682,4
19445476,202217685,5
19445476,202217687,6
19445666,202219762,0
19445666,202219766,1
19445666,202219770,2
19445666,202219774,3
19445666,202219777,4
19445666,202219781,5
19445666,202219786,6
19445794,7326499976,0
19445794,5708022927,1
19445794,202221023,2
19445794,5753133118,3
19445794,5708022931,4
19445794,202221019,5
19446031,202223220,0
19446031,202223223,1
19446156,202200081,0
19446156,202221404,1
19446156,202207439,2
19446156,202224405,3
19446156,202224410,4
19446156,202224414,5
19446156,202224425,6
19446156,202224442,7
19446156,202224446,8
19446156,202224450,9
19446156,202224453,10
19446156,202224461,11
19446156,202224466,12
19446156,202224470,13
19446156,202224475,14
19446156,202224480,15
19446156,202224485,16
19446156,202224490,17
19446156,202224496,18
19446349,308246482,0
19446349,308246483,1
19446349,308246484,2
19446349,308246485,3
19446349,308246486,4
19446349,308246487,5
19446349,308246488,6
19446349,308246489,7
19446349,308246490,8
19446349,308246491,9
19446349,308246492,10
19446349,308246493,11
19446349,308245183,12
19446349,308245184,13
19446349,202225792,14
19446437,202226900,0
19446437,202226903,1
19446437,202226905,2
19446437,202226859,3
19446548,202228339,0
19446548,202228344,1
19446687,202229895,0
19446687,202229897,1
19446824,202204502,0
19446824,202231216,1
19446824,202231223,2
19446824,202231225,3
19446824,202231232,4
19446824,202231237,5
19447001,202199609,0
19447001,202233040,1
19447001,202233042,2
19447001,202233045,3
19447001,202233048,4
19447001,202233053,5
19447001,202233058,6
19447001,202233063,7
19447001,202233069,8
19447001,202199675,9
19447179,202235388,0
19447179,202235389,1
19447179,202235391,2
19447179,202235392,3
19447179,202235394,4
19447179,202235395,5
19447179,202235397,6
19447179,202235398,7
19447179,202235400,8
19447179,202235402,9
19447179,202235405,10
19447179,202235408,11
19447179,202235410,12
19447179,202235414,13
19447179,202235417,14
19447179,202235420,15
19447374,202220610,0
19447374,202237599,1
19447374,7078882991,2
19447374,202237620,3
19447596,202239601,0
19447596,472461325,1
19447725,7460164462,0
19447725,7460164477,1
19447725,7460164476,2
19447725,7460164474,3
19447725,306532727,4
19447725,7460164472,5
19447725,7460164470,6
19447725,7460164469,7
19447725,306532729,8
19447725,7460164467,9
19447725,306532730,10
19447725,7460164465,11
19447725,7460164463,12
19447725,306532731,13
19447725,2546463063,14
19448121,202242799,0
19448121,7016992564,1
19448121,6691095017,2
19448121,202242802,3
19448121,3632983964,4
19448121,202184412,5
19448121,202242805,6
19448121,202242808,7
19448121,7016992552,8
19448121,3632983967,9
19448121,3632983968,10
19448121,202242812,11
19448121,6690793449,12
19448121,6690793453,13
19448121,202205257,14
19448121,202242815,15
19448121,3632983966,16
19448121,7649911906,17
19448121,202242817,18
19448121,3632983972,19
19448121,6694383498,20
19448121,202242819,21
19448121,202214458,22
19448121,6694375865,23
19448121,6694375859,24
19448121,202242821,25
19448309,202244744,0
19448309,202244746,1
19448309,4790924616,2
19448309,4796924565,3
19448309,4796924566,4
19448539,202246123,0
19448539,202246127,1
19448539,202246131,2
19448647,202247008,0
19448647,3248702309,1
19448647,5822090882,2
19448647,3248702306,3
19448647,3248702304,4
19448647,3248702294,5
19448647,7592052062,6
19448647,3248702292,7
19448647,3248702291,8
19448647,3248702290,9
19448647,3248702289,10
19448647,3248702285,11
19448647,3248702283,12
19448647,202247012,13
19448726,202247864,0
19448726,202247868,1
19448993,202249577,0
19448993,2977851278,1
19448993,202465551,2
19448993,202249583,3
19449191,202250676,0
19449191,202250680,1
19449191,202250682,2
19449191,202250686,3
19449318,2473523075,0
19449318,2473523087,1
19449318,2473523094,2
19449318,2473523096,3
19449318,2473523099,4
19449318,2473523102,5
19449318,2473523104,6
19449318,2473523106,7
19449318,2473523109,8
19449318,2473523112,9
19449318,2473523114,10
19449318,2473523119,11
19449461,202252975,0
19449461,202253174,1
19449461,202253177,2
19449461,2473810515,3
19449461,202253179,4
19449461,202253180,5
19449461,202252968,6
19449617,202254437,0
19449617,1954018532,1
19449617,202254439,2
19449617,202254445,3
19449617,202254451,4
19449617,202254453,5
19449751,202255559,0
19449751,202255560,1
19449751,7171644715,2
19449751,7192716256,3
19449751,202255562,4
19449751,202255564,5
19449751,6690687711,6
19449751,202255568,7
19449751,202255571,8
19449751,202255576,9
19449911,202256738,0
19449911,5607926060,1
19449911,202256741,2
19449911,202256746,3
19449911,7049428805,4
19449911,7049428811,5
19449911,6691150013,6
19449911,202256749,7
19449911,7016956841,8
19449911,7016956842,9
19449911,202256753,10
19449911,7016956838,11
19449911,202256757,12
19449911,202199046,13
19449911,202256761,14
19449911,5607926062,15
19449911,202256764,16
19450046,202257908,0
19450046,202257910,1
19450134,202258529,0
19450134,6750802257,1
19450134,6750802250,2
19450134,1910902537,3
19450134,202258524,4
19450346,202260400,0
19450346,202260403,1
19450346,202260405,2
19450346,202260407,3
19450346,202260409,4
19450346,202260411,5
19450346,202260416,6
19450407,202260931,0
19450407,202260933,1
19450407,3248701831,2
19450407,3248701828,3
19450407,202260936,4
19450407,202260938,5
19450407,202260940,6
19450407,3248701835,7
19450407,3248701840,8
19450407,202260943,9
19450407,202260947,10
19450407,3248701854,11
19450407,202260950,12
19450407,3248701884,13
19450407,202260952,14
19450555,202262178,0
19450555,3248701952,1
19450555,6687948318,2
19450555,202262181,3
19450739,202263711,0
19450739,202263714,1
19450739,202263716,2
19450739,202263718,3
19450739,202263719,4
19450739,202263720,5
19450739,202263721,6
19450739,202263723,7
19450739,7100283613,8
19450739,202263724,9
19450739,7100283612,10
19450739,7100283611,11
19450739,7100283610,12
19450739,7100283609,13
19450739,202263726,14
19450739,7100283608,15
19450739,202263729,16
19450976,202265576,0
19450976,202265580,1
19451194,3867056639,0
19451194,202267332,1
19451194,6260282529,2
19451194,202267335,3
19451194,6260282544,4
19451194,7089002828,5
19451194,202267340,6
19451194,7089002829,7
19451194,7089002825,8
19451194,6464767104,9
19451194,202267343,10
19451194,6464767105,11
19451194,6464766772,12
19451194,5744122061,13
19451194,5744122060,14
19451194,202267345,15
19451194,2473616039,16
19451194,6464766768,17
19451194,202267347,18
19451313,202268313,0
19451313,202268317,1
19451313,202268321,2
19451313,202268324,3
19451313,202268327,4
19451313,202255700,5
19451580,202270187,0
19451580,202270197,1
19451580,202270201,2
19451580,202270204,3
19451580,202270208,4
19451580,202270213,5
19451580,202270217,6
19451580,202270219,7
19451580,202270221,8
19451580,202270223,9
19451580,202270225,10
19451580,202270231,11
19451580,202270234,12
19451709,202271382,0
19451709,6621168667,1
19451709,202271387,2
19451709,202271390,3
19451709,202271394,4
19451709,202271397,5
19451709,202271400,6
19451709,202223431,7
19451709,202271402,8
19451709,202271403,9
19451709,1946843720,10
19451709,6975280442,11
19451709,1946843717,12
19451709,1946843716,13
19451709,6975280443,14
19451709,202251022,15
19451973,202273803,0
19451973,202273805,1
19451973,202273807,2
19451973,6688070630,3
19451973,202273811,4
19451973,6688070629,5
19451973,202273815,6
19451973,202273819,7
19452174,202274525,0
19452174,202275288,1
19452174,202275291,2
19452174,202275302,3
19452174,202275304,4
19452174,202275306,5
19452174,202275309,6
19452174,202275311,7
19452174,202260407,8
19452345,202276669,0
19452345,7317529430,1
19452345,202276673,2
19452345,202276676,3
19452345,6657291725,4
19452345,6657291728,5
19452345,6657278828,6
19452345,202276679,7
19452518,202278029,0
19452518,202278033,1
19452518,202278036,2
19452518,202278039,3
19452518,202278040,4
19452518,202278041,5
19452518,202278043,6
19452518,202278045,7
19452518,202278049,8
19452650,202278884,0
