id,key,value,type
19440717,highway,residential,regular
19440717,name,Glenwood Avenue,regular
19440717,cfcc,A41,tiger
19440717,county,"Davidson, TN",tiger
19440717,name_base,Glenwood,tiger
19440717,name_type,Ave,tiger
19440717,reviewed,no,tiger
19440717,zip_left,37204,tiger
19440717,zip_right,37204,tiger
19440948,highway,motorway_link,regular
19440948,lanes,1,regular
19440948,oneway,yes,regular
19440948,surface,asphalt,regular
19440948,cfcc,A63,tiger
19440948,county,"Davidson, TN",tiger
19440948,reviewed,no,tiger
19441119,electrified,no,regular
19441119,gauge,1435,regular
19441119,railway,rail,regular
19441119,service,yard,regular
19441119,cfcc,B11,tiger
19441119,county,"Davidson, TN",tiger
19441119,reviewed,no,tiger
19441329,highway,service,regular
19441329,service,parking_aisle,regular
19441329,surface,asphalt,regular
19441545,ref,US 31A South;US 41A,destination
19441545,street,2nd Avenue;4th Avenue,destination
19441545,highway,motorway_link,regular
19441545,ref,210C,junction
19441545,lanes,2,regular
19441545,advisory,30 mph,maxspeed
19441545,oneway,yes,regular
19441545,cfcc,A63,tiger
19441545,county,"Davidson, TN",tiger
19441545,reviewed,no,tiger
19441721,electrified,no,regular
19441721,gauge,1435,regular
19441721,railway,rail,regular
19441721,service,spur,regular
19441721,cfcc,B11,tiger
19441721,county,"Davidson, TN",tiger
19441721,reviewed,no,tiger
19441954,highway,motorway_link,regular
19441954,lanes,1,regular
19441954,oneway,yes,regular
19441954,cfcc,A63,tiger
19441954,county,"Davidson, TN",tiger
19441954,reviewed,no,tiger
19442230,highway,motorway_link,regular
19442230,lanes,1,regular
19442230,oneway,yes,regular
19442230,cfcc,A63,tiger
19442230,county,"Davidson, TN",tiger
19442230,reviewed,no,tiger
19442471,electrified,no,regular
19442471,gauge,1435,regular
19442471,railway,rail,regular
19442471,service,spur,regular
19442471,cfcc,B11,tiger
19442471,county,"Davidson, TN",tiger
19442471,reviewed,no,tiger
19442775,electrified,no,regular
19442775,gauge,1435,regular
19442775,railway,rail,regular
19442775,service,spur,regular
19442775,cfcc,B11,tiger
19442775,county,"Davidson, TN",tiger
19442775,reviewed,no,tiger
19442991,electrified,no,regular
19442991,gauge,1435,regular
19442991,railway,rail,regular
19442991,service,yard,regular
19442991,cfcc,B11,tiger
19442991,county,"Davidson, TN",tiger
19442991,reviewed,no,tiger
19443141,highway,service,regular
19443141,cfcc,A41,tiger
19443141,county,"Davidson, TN",tiger
19443141,reviewed,no,tiger
19443398,bridge,yes,regular
19443398,highway,motorway_link,regular
19443398,lanes,1,regular
19443398,layer,1,regular
19443398,oneway,yes,regular
19443398,cfcc,A63,tiger
19443398,county,"Davidson, TN",tiger
19443398,reviewed,no,tiger
19443398,source,tiger_import_dch_v0.6_20070829,tiger
19443398,tlid,97225941:97225751:97225959,tiger
19443398,upload_uuid,bulk_upload.pl-efa934c9-85d0-4815-8319-5170739caeae,tiger
19443644,destination,Centennial Boulevard East,regular
19443644,highway,motorway_link,regular
19443644,ref,26A,junction
19443644,lanes,1,regular
19443644,advisory,30 mph,maxspeed
19443644,oneway,yes,regular
19443644,cfcc,A63,tiger
19443644,county,"Davidson, TN",tiger
19443644,reviewed,yes,tiger
19443886,highway,residential,regular
19443886,name,Sharpe Avenue,regular
19443886,surface,asphalt,regular
19444069,street,North First Street South;Jefferson Street,destination
19444069,highway,motorway_link,regular
19444069,ref,47,junction
19444069,lanes,1,regular
19444069,advisory,30 mph,maxspeed
19444069,oneway,yes,regular
19444069,cfcc,A63,tiger
19444069,county,"Davidson, TN",tiger
19444069,reviewed,no,tiger
19444332,highway,residential,regular
19444332,name,Alameda Street,regular
19444332,cfcc,A41,tiger
19444332,county,"Davidson, TN",tiger
19444332,name_base,Alameda,tiger
19444332,name_type,St,tiger
19444332,reviewed,no,tiger
19444332,zip_left,37209,tiger
19444332,zip_right,37209,tiger
19444526,highway,motorway_link,regular
19444526,lanes,1,regular
19444526,oneway,yes,regular
19444526,cfcc,A63,tiger
19444526,county,"Davidson, TN",tiger
19444718,electrified,no,regular
19444718,gauge,1435,regular
19444718,railway,rail,regular
19444718,service,spur,regular
19444718,cfcc,B11,tiger
19444718,county,"Davidson, TN",tiger
19444718,reviewed,no,tiger
19444884,electrified,no,regular
19444884,gauge,1435,regular
19444884,railway,rail,regular
19444884,service,spur,regular
19444884,cfcc,B11,tiger
19444884,county,"Davidson, TN",tiger
19444884,reviewed,no,tiger
19445112,highway,trunk_link,regular
19445112,oneway,yes,regular
19445112,cfcc,A63,tiger
19445112,county,"Davidson, TN",tiger
19445112,reviewed,no,tiger
19445294,access,private,regular
19445294,highway,service,regular
19445294,cfcc,A41,tiger
19445294,county,"Davidson, TN",tiger
19445294,reviewed,no,tiger
19445476,electrified,no,regular
19445476,gauge,1435,regular
19445476,railway,rail,regular
19445476,service,yard,regular
19445476,cfcc,B11,tiger
19445476,county,"Davidson, TN",tiger
19445476,reviewed,no,tiger
19445666,highway,residential,regular
19445666,name,Summerwind Cir,regular
19445666,cfcc,A41,tiger
19445666,county,"Davidson, TN",tiger
19445666,reviewed,no,tiger
19445794,destination,Rosa L. Parks Boulevard;Downtown Nashville,regular
19445794,ref,US 41A ; SR 12,destination
19445794,highway,motorway_link,regular
19445794,lanes,2,regular
19445794,oneway,yes,regular
19445794,cfcc,A63,tiger
19445794,county,"Davidson, TN",tiger
19445794,reviewed,no,tiger
19446031,highway,residential,regular
19446031,name,37th Avenue North,regular
19446031,cfcc,A41,tiger
19446031,county,"Davidson, TN",tiger
19446031,reviewed,no,tiger
19446156,electrified,no,regular
19446156,gauge,1435,regular
19446156,railway,rail,regular
19446156,service,yard,regular
19446156,cfcc,B11,tiger
19446156,county,"Davidson, TN",tiger
19446156,reviewed,no,tiger
19446349,street,County Hospital Road,destination
19446349,highway,motorway_link,regular
19446349,ref,25,junction
19446349,lanes,1,regular
19446349,advisory,45 mph,maxspeed
19446349,oneway,yes,regular
19446349,cfcc,A63,tiger
19446349,county,"Davidson, TN",tiger
19446349,reviewed,no,tiger
19446437,electrified,no,regular
19446437,gauge,1435,regular
19446437,railway,rail,regular
19446437,service,spur,regular
19446437,cfcc,B11,tiger
19446437,county,"Davidson, TN",tiger
19446437,reviewed,no,tiger
19446548,electrified,no,regular
19446548,gauge,1435,regular
19446548,railway,rail,regular
19446548,service,spur,regular
19446548,cfcc,B11,tiger
19446548,county,"Davidson, TN",tiger
19446548,reviewed,no,tiger
19446687,electrified,no,regular
19446687,gauge,1435,regular
19446687,railway,rail,regular
19446687,service,yard,regular
19446687,cfcc,B11,tiger
19446687,county,"Davidson, TN",tiger
19446687,reviewed,no,tiger
19446824,electrified,no,regular
19446824,gauge,1435,regular
19446824,railway,rail,regular
19446824,service,yard,regular
19446824,cfcc,B11,tiger
19446824,county,"Davidson, TN",tiger
19446824,reviewed,no,tiger
19447001,electrified,no,regular
19447001,gauge,1435,regular
19447001,railway,rail,regular
19447001,service,yard,regular
19447001,cfcc,B11,tiger
19447001,county,"Davidson, TN",tiger
19447001,reviewed,no,tiger
19447179,electrified,no,regular
19447179,gauge,1435,regular
19447179,railway,rail,regular
19447179,service,spur,regular
19447179,cfcc,B11,tiger
19447179,county,"Davidson, TN",tiger
19447179,reviewed,no,tiger
19447374,highway,residential,regular
19447374,name,University Court,regular
19447374,cfcc,A41,tiger
19447374,county,"Davidson, TN",tiger
19447374,reviewed,no,tiger
19447596,destination,Knoxville,regular
19447596,ref,I 440 East,destination
19447596,highway,motorway_link,regular
19447596,ref,206,junction
19447596,lanes,2,regular
19447596,oneway,yes,regular
19447596,cfcc,A63,tiger
19447596,county,"Davidson, TN",tiger
19447596,reviewed,no,tiger
19447725,highway,secondary_link,regular
19447725,oneway,yes,regular
19447725,cfcc,A63,tiger
19447725,county,"Davidson, TN",tiger
19447725,reviewed,no,tiger
19448121,highway,residential,regular
19448121,name,Robertson Academy Road,regular
19448121,cfcc,A41,tiger
19448121,county,"Davidson, TN",tiger
19448121,name_base,Robertson Academy,tiger
19448121,name_type,Rd,tiger
19448121,reviewed,no,tiger
19448121,zip_left,37220,tiger
19448121,zip_right,37220,tiger
19448309,highway,residential,regular
19448309,name,Conway Street,regular
19448309,cfcc,A41,tiger
19448309,county,"Davidson, TN",tiger
19448309,name_base,Conway,tiger
19448309,name_type,St,tiger
19448309,reviewed,yes,tiger
19448309,zip_left,37209,tiger
19448309,zip_right,37209,tiger
19448539,highway,residential,regular
19448539,name,Eversholt Court,regular
19448539,cfcc,A41,tiger
19448539,county,"Davidson, TN",tiger
19448539,name_base,Eversholt,tiger
19448539,name_type,Ct,tiger
19448539,reviewed,no,tiger
19448539,zip_left,37013,tiger
19448539,zip_right,37013,tiger
19448647,highway,residential,regular
19448647,name,Arbor Creek Boulevard,regular
19448647,cfcc,A41,tiger
19448647,county,"Davidson, TN",tiger
19448647,name_base,Arbor Creek,tiger
19448647,name_type,Blvd,tiger
19448726,highway,residential,regular
19448726,name,Batavia Street,regular
19448726,cfcc,A41,tiger
19448726,county,"Davidson, TN",tiger
19448726,name_base,Batavia,tiger
19448726,name_type,St,tiger
19448726,reviewed,no,tiger
19448726,zip_left,37208,tiger
19448726,zip_right,37208,tiger
19448993,highway,residential,regular
19448993,name,Stockyard Boulevard,regular
19448993,cfcc,A41,tiger
19448993,county,"Davidson, TN",tiger
19448993,name_base,Stockyard,tiger
19448993,name_type,Blvd,tiger
19448993,reviewed,no,tiger
19449191,highway,residential,regular
19449191,name,Corder Drive,regular
19449191,cfcc,A41,tiger
19449191,county,"Davidson, TN",tiger
19449191,name_base,Corder,tiger
19449191,name_type,Dr,tiger
19449191,reviewed,no,tiger
19449191,zip_left,37206,tiger
19449191,zip_right,37206,tiger
19449318,highway,residential,regular
19449318,name,Brighton Close,regular
19449318,cfcc,A41,tiger
19449318,county,"Davidson, TN",tiger
19449318,name_base,Brighton Close,tiger
19449318,reviewed,no,tiger
19449461,highway,residential,regular
19449461,name,Chestnut Hill Drive,regular
19449461,cfcc,A41,tiger
19449461,county,"Davidson, TN",tiger
19449461,name_base,Chestnut Hill,tiger
19449461,name_type,Dr,tiger
19449461,reviewed,no,tiger
19449461,zip_left,37215,tiger
19449461,zip_right,37215,tiger
19449617,highway,residential,regular
19449617,name,Lockwood Drive,regular
19449617,cfcc,A41,tiger
19449617,county,"Davidson, TN",tiger
19449617,name_base,Lockwood,tiger
19449617,name_type,Dr,tiger
19449617,zip_left,37214,tiger
19449617,zip_right,37214,tiger
19449751,highway,residential,regular
19449751,name,11th Avenue North,regular
19449751,cfcc,A41,tiger
19449751,county,"Davidson, TN",tiger
19449751,name_base,11th,tiger
19449751,name_direction_suffix,N,tiger
19449751,name_type,Ave,tiger
19449751,reviewed,no,tiger
19449751,zip_left,37208,tiger
19449751,zip_right,37208,tiger
19449911,highway,residential,regular
19449911,name,Overhill Circle,regular
19449911,cfcc,A41,tiger
19449911,county,"Davidson, TN",tiger
19449911,name_base,Overhill,tiger
19449911,name_type,Cir,tiger
19449911,reviewed,no,tiger
19449911,zip_left,37214,tiger
19449911,zip_right,37214,tiger
19450046,highway,residential,regular
19450046,name,Oxton Hill Lane,regular
19450046,cfcc,A41,tiger
19450046,county,"Davidson, TN",tiger
19450046,name_base,Oxton Hill,tiger
19450046,name_type,Ln,tiger
19450046,reviewed,no,tiger
19450046,zip_left,37215,tiger
19450046,zip_right,37215,tiger
19450134,highway,unclassified,regular
19450134,name,Green Street,regular
19450134,oneway,yes,regular
19450134,surface,asphalt,regular
19450346,highway,residential,regular
19450346,name,Overby Drive,regular
19450346,cfcc,A41,tiger
19450346,county,"Davidson, TN",tiger
19450346,name_base,Overby,tiger
19450346,name_type,Dr,tiger
19450346,reviewed,no,tiger
19450346,zip_left,37013,tiger
19450346,zip_right,37013,tiger
19450407,highway,residential,regular
19450407,name,Mc Donald Drive,regular
19450407,cfcc,A41,tiger
19450407,county,"Davidson, TN",tiger
19450407,name_base,Mc Donald,tiger
19450407,name_type,Dr,tiger
19450407,zip_left,37217,tiger
19450407,zip_right,37217,tiger
19450555,highway,residential,regular
19450555,name,Mercury Drive,regular
19450555,cfcc,A41,tiger
19450555,county,"Davidson, TN",tiger
19450555,name_base,Mercury,tiger
19450555,name_type,Dr,tiger
19450555,zip_left,37217,tiger
19450555,zip_right,37217,tiger
19450739,highway,residential,regular
19450739,name,Jenkins Street,regular
19450739,cfcc,A41,tiger
19450739,county,"Davidson, TN",tiger
19450739,name_base,Jenkins,tiger
19450739,name_type,St,tiger
19450739,reviewed,no,tiger
19450739,zip_left,37208,tiger
19450739,zip_right,37208,tiger
19450976,highway,residential,regular
19450976,name,Huntington Circle,regular
19450976,cfcc,A41,tiger
19450976,county,"Davidson, TN",tiger
19450976,name_base,Huntington,tiger
19450976,name_type,Cir,tiger
19450976,reviewed,no,tiger
19450976,zip_left,37215,tiger
19450976,zip_right,37215,tiger
19451194,highway,residential,regular
19451194,name,Villa Place,regular
19451194,surface,asphalt,regular
19451194,cfcc,A41,tiger
19451194,county,"Davidson, TN",tiger
19451194,name_base,Villa,tiger
19451194,name_type,Pl,tiger
19451194,reviewed,no,tiger
19451194,zip_left,37212,tiger
19451194,zip_right,37212,tiger
19451313,highway,residential,regular
19451313,name,Gun Club Road,regular
19451313,cfcc,A41,tiger
19451313,county,"Davidson, TN",tiger
19451313,name_base,Gun Club,tiger
19451313,name_type,Rd,tiger
19451313,reviewed,no,tiger
19451313,zip_left,37205,tiger
19451580,highway,residential,regular
19451580,name,Southwind Drive,regular
19451580,cfcc,A41,tiger
19451580,county,"Davidson, TN",tiger
19451580,name_base,Southwind,tiger
19451580,name_type,Dr,tiger
19451580,reviewed,no,tiger
19451580,zip_left,37217,tiger
19451580,zip_right,37217,tiger
19451709,bicycle,yes,regular
19451709,cycleway,no,regular
19451709,foot,yes,regular
19451709,highway,residential,regular
19451709,name,Donelsonwood Drive,regular
19451709,sidewalk,none,regular
19451709,cfcc,A41,tiger
19451709,county,"Davidson, TN",tiger
19451709,name_base,Donelsonwood,tiger
19451709,name_type,Dr,tiger
19451709,reviewed,no,tiger
19451709,zip_left,37214,tiger
19451709,zip_right,37214,tiger
19451973,highway,residential,regular
19451973,name,Foxwood Lane,regular
19451973,cfcc,A41,tiger
19451973,county,"Davidson, TN",tiger
19451973,name_base,Foxwood,tiger
19451973,name_type,Ln,tiger
19451973,reviewed,no,tiger
19451973,zip_left,37214,tiger
19451973,zip_left_1,37210,tiger
19451973,zip_right,37210,tiger
19452174,highway,residential,regular
19452174,name,Denise Drive,regular
19452174,cfcc,A41,tiger
19452174,county,"Davidson, TN",tiger
19452174,name_base,Denise,tiger
19452174,name_type,Dr,tiger
19452174,reviewed,no,tiger
19452174,zip_left,37013,tiger
19452174,zip_right,37013,tiger
19452345,highway,unclassified,regular
19452345,name,Arena Avenue,regular
19452345,cfcc,A41,tiger
19452345,county,"Davidson, TN",tiger
19452345,name_base,Arena,tiger
19452345,name_type,Ave,tiger
19452345,reviewed,no,tiger
19452345,zip_left,37203,tiger
19452345,zip_right,37203,tiger
19452518,highway,residential,regular
19452518,name,Hickorydale Drive,regular
19452518,cfcc,A41,tiger
19452518,county,"Davidson, TN",tiger
19452518,name_base,Hickorydale,tiger
19452518,name_type,Dr,tiger
19452518,reviewed,no,tiger
19452518,zip_left,37210,tiger
19452518,zip_right,37210,tiger
19452650,highway,residential,regular
19452650,name,24th Avenue,regular
19452650,cfcc,A41,tiger
19452650,county,"Davidson, TN",tiger
19452650,name_base,24th,tiger
19452650,name_type,Ave,tiger
19452650,reviewed,no,tiger
19452650,zip_left,37203,tiger
19452650,zip_right,37203,tiger
19452771,highway,residential,regular
19452771,name,Jamesborough Pl,regular
19452771,cfcc,A41,tiger
19452771,county,"Davidson, TN",tiger
19452771,name_base,Belmont,tiger
19452771,name_type,Blvd,tiger
19452771,reviewed,no,tiger
19453017,highway,tertiary,regular
19453017,name,9th Avenue North,regular
19453017,cfcc,A41,tiger
19453017,county,"Davidson, TN",tiger
19453017,name_base,9th,tiger
19453017,name_direction_suffix,N,tiger
19453017,name_type,Ave,tiger
19453017,reviewed,no,tiger
19453017,zip_left,37208,tiger
19453017,zip_right,37208,tiger
19453176,highway,residential,regular
19453176,name,Warren Street,regular
19453176,cfcc,A41,tiger
19453176,county,"Davidson, TN",tiger
19453176,name_base,Warren,tiger
19453176,name_type,St,tiger
19453176,zip_left,37208,tiger
19453176,zip_right,37208,tiger
19453430,highway,residential,regular
19453430,name,Riverside Drive,regular
19453430,cfcc,A41,tiger
